t,cr,cm,pct,truth
7800,694,698,7,228
7850,675,699,5,227
7900,716,700,4,189
7950,711,700,4,133
8000,711,700,4,84
8050,676,699,5,62
8100,754,698,5,76
8150,754,698,6,114
8200,695,698,6,153
8250,682,699,6,169
8300,682,699,5,153
8350,694,699,5,113
8400,722,699,5,72
8450,696,698,6,51
8500,696,697,8,68
8550,684,697,8,118
8600,688,697,8,179
8650,688,698,7,224
8700,713,699,6,230
8750,718,700,4,198
8800,718,700,4,143
8850,724,700,4,91
8900,690,699,4,63
8950,702,699,5,71
9000,702,698,6,107
9050,682,698,6,147
9100,705,698,6,169
9150,705,699,5,158
9200,712,699,5,121
9250,683,699,5,78
9300,683,698,6,53
9350,675,698,7,62
9400,728,697,8,107
9450,714,697,8,169
9500,714,698,7,218
9550,727,699,6,232
9600,703,700,5,206
9650,703,700,4,154
9700,705,700,4,99
9750,695,700,4,66
9800,695,699,5,67
9850,719,698,6,99
9900,712,698,6,141
9950,702,698,6,167
10000,702,699,5,162
10050,682,699,5,129
10100,690,699,5,85
10150,690,698,6,55
10200,666,698,7,58
10250,723,697,8,97
10300,723,698,8,158
10350,694,698,7,212
10400,723,699,6,233
10450,723,700,5,213
10500,693,700,4,164
10550,705,700,4,108
10600,712,699,4,69
10650,712,699,5,65
10700,704,699,6,92
10750,694,699,6,134
10800,694,699,6,165
10850,690,699,5,166
10900,712,699,5,136
10950,712,699,5,93
11000,674,698,6,58
11050,703,698,7,54
11100,690,697,8,88
11150,690,698,8,147
11200,687,698,8,204
11250,726,698,6,232
11300,726,699,5,219
11350,675,700,4,174
11400,723,700,4,117
11450,723,700,4,74
11500,694,699,5,63
11550,738,699,6,86
11600,687,698,6,127
11650,687,698,6,161
11700,703,699,5,168
11750,709,699,5,143
11800,709,699,5,100
11850,702,698,6,62
11900,707,698,7,52
11950,707,697,8,80
12000,706,697,8,136
12050,679,698,8,195
12100,678,698,7,230
12150,678,699,5,225
12200,693,700,4,183
12250,735,700,4,127
12300,735,700,4,80
12350,702,699,5,62
12400,698,699,6,80
12450,698,698,6,119
12500,701,699,6,156
12550,687,699,5,169
12600,693,699,5,150
12650,693,699,5,108
12700,722,698,6,68
12750,699,698,7,51
12800,699,697,8,72
12850,691,697,8,125
12900,706,697,8,186
12950,706,698,7,227
13000,711,699,6,228
13050,721,700,4,193
13100,712,700,4,137
13150,712,700,4,86
13200,701,699,5,63
13250,729,699,5,74
13300,729,699,6,112
13350,723,698,6,151
13400,716,699,6,169
13450,716,699,5,155
13500,701,699,5,116
13550,694,699,5,74
13600,694,698,6,52
13650,694,698,8,66
13700,683,697,8,114
13750,719,697,8,176
13800,719,698,7,222
13850,688,699,6,231
13900,692,700,4,201
13950,692,700,4,147
14000,697,700,4,94
14050,708,699,4,64
14100,708,699,5,70
14150,721,699,6,104
14200,738,699,6,145
14250,705,699,6,168
14300,705,699,5,160
14350,719,699,5,124
14400,710,698,5,80
14450,710,699,6,53
14500,675,697,7,60
14550,728,697,8,104
14600,728,698,8,165
14650,695,698,7,216
14700,688,699,6,233
14750,732,699,5,209
14800,732,700,4,157
14850,705,700,4,102
14900,703,699,4,67
14950,703,699,5,66
15000,689,699,6,97
15050,706,698,6,139
15100,706,699,6,166
15150,705,699,5,164
15200,698,699,5,132
15250,729,699,5,88
15300,729,698,6,56
15350,669,698,7,56
15400,710,697,8,94
15450,710,697,8,154
15500,721,698,8,209
15550,693,699,6,233
15600,693,699,5,216
15650,697,700,4,167
15700,711,700,4,111
15750,709,700,4,71
15800,709,699,5,64
15850,693,698,6,90
15900,734,698,6,132
15950,734,699,6,163
16000,702,699,5,167
16050,683,699,5,139
16100,683,699,5,95
16150,702,698,6,60
16200,704,697,7,53
16250,693,698,8,85
16300,693,697,8,143
16350,702,697,8,201
16400,698,699,7,231
16450,698,700,5,221
16500,706,700,4,177
16550,706,700,4,120
16600,706,700,4,76
16650,721,699,5,62
16700,706,699,6,83
16750,719,698,6,124
16800,719,698,6,159
16850,690,699,5,168
16900,700,699,5,146
16950,700,699,5,103
17000,706,698,6,64
17050,708,698,7,52
17100,708,697,8,77
17150,708,697,8,132
17200,673,698,8,192
17250,689,699,7,229
17300,689,699,5,226
17350,698,700,4,187
17400,698,700,4,130
17450,698,700,4,82
17500,705,699,5,62
17550,720,699,6,78
17600,720,698,6,117
17650,697,699,6,155
17700,681,699,6,169
17750,681,699,5,152
17800,702,699,5,111
17850,701,699,6,70
17900,681,698,7,51
17950,681,697,8,70
18000,704,697,8,121
18050,699,698,8,183
18100,699,698,7,225
18150,695,700,6,230
18200,681,700,4,196
18250,681,700,4,140
18300,720,700,4,89
18350,712,699,4,63
18400,687,698,5,73
18450,687,698,6,109
18500,689,698,6,149
18550,692,699,6,169
18600,692,699,5,157
18650,667,699,5,119
18700,687,699,5,76
18750,687,698,6,52
18800,690,697,7,64
18850,708,697,8,110
18900,713,697,8,172
18950,713,698,7,220
19000,701,699,6,232
19050,717,700,5,204
19100,717,700,4,151
19150,691,700,4,96
19200,701,699,4,65
19250,701,699,5,68
19300,719,698,6,101
19350,683,699,6,143
19400,722,699,6,168
19450,722,699,5,161
19500,699,699,5,127
19550,707,698,5,83
19600,707,698,6,54
19650,707,697,7,59
19700,679,697,8,100
19750,679,697,8,161
19800,716,697,7,214
19850,680,699,6,233
19900,701,700,5,211
19950,701,700,4,161
20000,731,700,4,105
20050,723,699,4,68
20100,723,699,5,65
20150,713,698,6,94
20200,688,698,6,136
20250,688,698,6,165
20300,710,699,5,165
20350,687,699,5,134
20400,693,699,5,90
20450,693,698,6,57
20500,688,698,7,55
20550,691,697,8,91
20600,691,697,8,150
20650,723,698,8,206
20700,722,698,6,232
20750,722,699,5,218
20800,691,700,4,171
20850,715,700,4,114
20900,713,700,4,72
20950,713,699,5,63
21000,712,699,6,87
21050,667,698,6,129
21100,667,698,6,162
21150,708,699,5,167
21200,707,699,5,141
21250,707,699,5,98
21300,682,699,6,61
21350,697,698,7,53
21400,697,697,8,82
21450,697,697,8,139
21500,702,697,8,198
21550,688,699,7,231
21600,688,699,5,223
21650,688,700,4,181
21700,695,700,4,124
21750,695,700,4,78
21800,687,699,5,62
21850,677,698,6,81
21900,677,698,6,121
21950,706,698,6,158
22000,686,699,5,169
22050,703,699,5,148
22100,703,699,5,106
22150,693,699,6,66
22200,687,698,7,51
22250,687,697,8,74
22300,706,697,8,128
22350,691,698,8,189
22400,691,698,7,228
22450,708,699,5,227
22500,695,700,4,190
22550,687,700,4,134
22600,687,700,4,84
22650,700,699,5,62
22700,698,699,5,76
22750,698,698,6,114
22800,718,698,6,153
22850,710,698,6,169
22900,710,699,5,154
22950,684,699,5,114
23000,701,699,5,72
23050,688,698,6,51
23100,688,697,8,68
23150,697,697,8,117
23200,691,698,8,179
23250,691,698,7,223
23300,692,699,6,230
23350,691,700,4,199
23400,691,700,4,144
23450,719,699,4,91
23500,672,699,4,64
23550,699,699,5,71
23600,699,698,6,106
23650,725,698,6,147
23700,719,699,6,169
23750,719,699,5,159
23800,699,699,5,122
23850,688,699,5,78
23900,688,698,6,53
23950,712,698,7,62
24000,681,697,8,107
24050,686,697,8,168
24100,686,698,7,218
24150,704,699,6,232
24200,708,699,5,207
24250,708,700,4,154
24300,699,700,4,99
24350,711,699,4,66
24400,711,699,5,67
24450,704,698,6,99
24500,706,698,6,141
24550,687,698,6,167
24600,687,699,5,163
24650,697,699,5,130
24700,708,699,5,85
24750,708,698,6,55
24800,701,697,7,57
24850,722,697,8,97
24900,722,697,8,158
24950,727,698,8,211
25000,704,699,6,233
25050,704,700,5,214
25100,708,700,4,164
25150,712,700,4,108
25200,684,700,4,70
25250,684,699,5,64
25300,692,698,6,92
25350,733,698,6,134
25400,733,699,6,164
25450,690,699,5,166
25500,697,699,5,137
25550,697,699,5,93
25600,686,698,6,58
25650,691,698,7,54
25700,656,697,8,88
25750,656,697,8,147
25800,716,698,8,204
25850,697,699,6,232
25900,697,699,5,220
25950,704,700,4,174
26000,722,700,4,117
26050,722,700,4,74
26100,718,699,5,63
26150,673,699,6,85
26200,690,698,6,126
26250,690,698,6,161
26300,699,699,5,168
26350,695,699,5,144
26400,695,699,5,101
26450,703,698,6,63
26500,704,698,7,52
26550,704,697,8,79
26600,702,697,8,135
26650,696,697,8,195
26700,695,698,7,230
26750,695,699,5,225
26800,719,700,4,184
26850,728,700,4,127
26900,728,699,4,80
26950,682,699,5,62
27000,683,699,6,79
27050,683,698,6,119
27100,701,698,6,156
27150,698,698,5,169
27200,687,699,5,150
27250,687,699,5,109
27300,683,698,6,68
27350,675,698,7,51
27400,675,697,8,72
27450,704,697,8,124
27500,684,698,8,185
27550,684,698,7,226
27600,694,699,6,229
27650,697,700,4,193
27700,697,700,4,137
27750,697,700,4,87
27800,704,699,5,63
27850,705,699,5,74
27900,705,698,6,111
27950,694,698,6,151
28000,696,699,6,169
28050,696,699,5,155
28100,691,699,5,117
28150,678,699,5,74
28200,676,698,6,52
28250,676,697,8,65
28300,682,697,8,114
28350,709,697,8,175
28400,709,698,7,222
28450,678,699,6,231
28500,708,700,4,202
28550,708,700,4,148
28600,700,700,4,94
28650,708,699,4,64
28700,708,699,5,70
28750,703,698,6,104
28800,704,698,6,145
28850,687,698,6,168
28900,687,699,5,160
28950,698,699,5,125
29000,686,699,5,81
29050,686,698,6,53
29100,718,697,7,60
29150,682,697,8,103
29200,682,697,8,165
29250,730,698,7,216
29300,699,699,6,233
29350,729,700,5,209
29400,729,700,4,158
29450,717,700,4,102
29500,713,699,4,67
29550,713,698,5,66
29600,708,698,6,96
29650,697,698,6,138
29700,697,699,6,166
29750,674,699,5,164
29800,699,699,5,132
29850,686,699,5,88
29900,686,698,6,56
29950,694,698,7,56
30000,683,697,8,94
30050,683,697,8,154
30100,685,698,8,209
30150,695,699,6,233
30200,695,699,5,216
30250,683,700,4,168
30300,705,700,4,111
30350,698,699,4,71
30400,698,699,5,64
30450,693,698,6,89
30500,709,698,6,131
30550,709,698,6,163
30600,669,699,5,167
30650,707,699,5,139
30700,707,699,5,96
30750,698,699,6,60
30800,674,698,7,53
30850,695,697,8,85
30900,695,697,8,143
30950,683,697,8,201
31000,704,698,7,231
31050,704,699,5,222
31100,680,700,4,178
31150,722,700,4,121
31200,722,700,4,76
31250,699,699,5,62
31300,693,698,6,83
31350,687,698,6,124
31400,687,698,6,159
31450,707,699,5,169
31500,703,699,5,146
31550,703,699,5,104
31600,690,698,6,64
31650,706,698,7,52
31700,706,697,8,77
31750,696,697,8,131
31800,696,697,8,192
31850,696,698,7,229
31900,678,699,5,226
31950,671,700,4,187
32000,696,700,4,131
32050,696,700,4,82
32100,691,699,5,62
32150,709,699,6,77
32200,709,698,6,116
32250,704,698,6,154
32300,686,699,6,169
32350,686,699,5,152
32400,687,699,5,112
32450,737,699,6,70
32500,686,698,7,51
32550,686,698,8,70
32600,696,697,8,121
32650,696,697,8,182
32700,696,698,7,225
32750,687,699,6,230
32800,682,700,4,196
32850,682,700,4,141
32900,695,700,4,89
32950,704,699,4,63
33000,693,698,5,72
33050,693,698,6,109
33100,710,698,6,149
33150,668,699,6,169
33200,668,699,5,157
33250,689,699,5,120
33300,661,698,5,76
33350,661,698,6,52
33400,677,698,7,64
33450,728,697,8,110
33500,715,697,8,172
33550,715,698,7,220
33600,688,699,6,232
33650,687,700,5,204
33700,687,700,4,151
33750,682,700,4,97
33800,700,699,4,65
33850,700,699,5,68
33900,686,698,6,101
33950,698,698,6,143
34000,678,699,6,168
34050,678,699,5,162
34100,702,699,5,127
34150,681,699,5,83
34200,681,698,6,54
34250,718,698,7,59
34300,698,697,8,100
34350,698,697,8,161
34400,678,698,7,213
34450,700,699,6,233
34500,709,699,5,212
34550,709,700,4,161
34600,728,700,4,105
34650,685,699,4,68
34700,685,699,5,65
34750,698,698,6,94
34800,688,698,6,136
34850,688,698,6,165
34900,711,699,5,165
34950,693,699,5,135
35000,706,699,5,91
35050,706,698,6,57
35100,711,697,7,55
35150,712,697,8,90
35200,712,697,8,150
35250,657,698,8,206
35300,729,699,6,232
35350,729,699,5,218
35400,680,700,4,171
35450,686,700,4,115
35500,686,700,4,73
35550,697,699,5,63
35600,704,699,6,87
35650,693,698,6,129
35700,693,699,6,162
35750,694,699,5,167
35800,672,699,5,142
35850,672,699,5,98
35900,704,698,6,61
35950,710,698,7,53
36000,710,697,8,82
36050,705,697,8,139
36100,700,698,8,198
36150,698,699,7,231
36200,698,699,5,223
36250,679,700,4,181
36300,710,700,4,124
36350,710,700,4,78
36400,699,699,5,62
36450,740,699,6,81
36500,740,698,6,121
36550,701,698,6,158
36600,691,699,5,169
36650,689,699,5,148
36700,689,699,5,106
36750,737,699,6,66
36800,672,698,7,51
36850,672,698,8,74
36900,701,697,8,128
36950,712,698,8,188
37000,712,698,7,228
37050,701,699,5,228
37100,708,700,4,190
37150,726,700,4,134
37200,726,700,4,84
37250,729,699,5,62
37300,731,698,5,75
37350,731,698,6,113
37400,678,698,6,153
37450,693,699,6,169
37500,693,699,5,154
37550,694,699,5,114
37600,722,699,5,72
37650,698,698,6,51
37700,698,697,8,67
37750,693,697,8,117
37800,686,697,8,178
37850,686,698,7,223
37900,703,699,6,231
37950,705,700,4,199
38000,705,700,4,145
38050,739,700,4,92
38100,692,700,4,64
38150,714,698,5,71
38200,714,698,6,106
38250,688,698,6,147
38300,689,699,6,169
38350,689,699,5,159
38400,695,699,5,122
38450,694,699,5,79
38500,694,698,6,53
38550,674,698,7,62
38600,718,697,8,106
38650,678,697,8,168
38700,678,698,7,218
38750,689,699,6,232
38800,698,700,5,207
38850,698,700,4,155
38900,684,700,4,100
38950,684,699,4,66
39000,684,699,5,67
39050,674,698,6,98
39100,726,698,6,140
39150,726,698,6,167
39200,703,699,5,163
39250,695,699,5,130
39300,708,699,5,86
39350,708,699,6,55
39400,681,698,7,57
39450,699,697,8,96
39500,699,697,8,157
39550,703,698,8,211
39600,700,698,6,233
39650,700,699,5,214
39700,700,700,4,165
39750,697,700,4,109
39800,711,699,4,70
39850,711,699,5,64
39900,688,698,6,91
39950,711,698,6,133
40000,711,699,6,164
40050,706,699,5,166
40100,713,699,5,137
40150,713,699,5,93
40200,697,699,6,59
40250,679,698,7,54
40300,706,697,8,87
40350,706,697,8,146
40400,706,698,8,203
40450,706,698,6,232
40500,706,699,5,220
40550,682,700,4,175
40600,697,700,4,118
40650,697,700,4,74
40700,699,699,5,63
40750,712,698,6,85
40800,685,698,6,126
40850,685,698,6,161
40900,695,699,5,168
40950,694,699,5,144
41000,694,699,5,101
41050,709,698,6,63
41100,722,698,7,52
41150,722,697,8,79
41200,694,697,8,135
41250,697,697,8,194
41300,728,698,7,230
41350,728,699,5,225
41400,682,700,4,185
41450,674,700,4,128
41500,674,700,4,80
41550,697,699,5,62
41600,686,698,6,79
41650,686,699,6,118
41700,686,698,6,156
41750,684,699,5,169
41800,703,699,5,150
41850,703,699,5,109
41900,694,699,6,68
41950,686,698,7,51
42000,686,697,8,72
42050,697,697,8,124
42100,684,697,8,185
42150,684,698,7,226
42200,721,699,6,229
42250,697,700,4,194
42300,671,700,4,138
42350,671,700,4,87
42400,676,699,5,63
42450,699,698,5,74
42500,699,699,6,111
42550,734,698,6,151
42600,708,698,6,169
42650,708,699,5,156
42700,725,699,5,117
42750,706,698,5,74
42800,706,698,6,52
42850,717,697,8,65
42900,697,696,8,113
42950,706,698,8,175
43000,706,698,7,221
43050,703,699,6,231
43100,675,700,4,202
43150,675,700,4,148
43200,688,700,4,95
43250,698,699,4,64
43300,698,699,5,69
43350,703,698,6,103
43400,661,698,6,144
43450,703,698,6,168
43500,703,699,5,160
43550,705,699,5,125
43600,711,699,5,81
43650,711,698,6,53
43700,678,698,7,60
43750,700,697,8,103
43800,700,697,8,164
43850,707,698,7,215
43900,684,699,6,233
43950,700,700,5,210
44000,700,700,4,158
44050,699,700,4,103
44100,708,699,4,67
44150,708,699,5,66
44200,712,699,6,96
44250,709,698,6,138
44300,709,699,6,166
44350,705,699,5,164
44400,704,699,5,133
44450,697,699,5,88
44500,697,698,6,56
44550,687,698,7,56
44600,689,697,8,93
44650,689,698,8,153
44700,689,698,8,208
44750,692,699,6,233
44800,692,699,5,216
44850,716,700,4,169
44900,683,700,4,112
44950,711,700,4,71
45000,711,699,5,64
0,0,573,0,42
50,0,568,0,59
100,571,565,0,71
150,571,562,0,75
200,563,559,0,69
250,563,555,0,58
300,552,551,0,44
350,552,546,0,33
400,562,540,0,29
450,541,536,0,35
500,541,530,1,51
550,538,528,6,70
600,538,526,9,87
650,526,527,10,94
700,526,527,10,92
750,539,527,11,80
800,539,526,13,62
850,521,525,15,44
900,521,523,19,32
950,508,522,22,30
1000,508,522,24,41
1050,528,523,24,61
1100,528,525,21,86
1150,531,528,18,107
1200,531,531,14,119
1250,525,533,10,120
1300,525,534,7,110
1350,532,534,7,92
1400,546,534,8,71
1450,546,532,11,51
1500,541,530,14,38
1550,541,528,17,35
1600,523,527,20,43
1650,523,527,20,58
1700,534,528,19,74
1750,534,529,17,87
1800,536,531,15,90
1850,536,532,14,84
1900,537,532,13,70
1950,537,532,14,53
2000,538,530,16,37
2050,538,528,19,28
2100,527,528,22,31
2150,527,527,23,45
2200,529,528,22,67
2250,519,530,19,90
2300,519,532,15,108
2350,530,535,11,116
2400,530,537,8,114
2450,533,537,6,101
2500,533,537,6,82
2550,541,535,8,61
2600,541,533,11,44
2650,542,531,15,34
2700,542,529,18,36
2750,518,528,20,47
2800,518,528,20,64
2850,537,529,18,79
2900,537,531,16,88
2950,528,532,14,88
3000,532,533,13,78
3050,532,532,13,62
3100,521,532,15,45
3150,521,530,17,32
3200,531,528,20,28
3250,531,528,22,35
3300,535,528,22,53
3350,535,529,21,76
3400,535,531,18,98
3450,535,534,14,113
3500,533,536,10,116
3550,533,537,7,109
3600,533,537,6,93
3650,533,536,7,73
3700,526,535,10,53
3750,543,532,13,38
3800,543,530,16,34
3850,520,528,19,40
3900,520,528,20,54
3950,537,529,19,71
4000,537,530,17,84
4050,517,532,15,89
4100,517,533,14,85
4150,536,533,13,72
4200,536,532,14,55
4250,532,531,16,39
4300,532,529,19,29
4350,517,528,21,29
4400,517,527,22,42
4450,541,528,22,63
4500,541,530,20,86
4550,531,532,16,106
4600,542,535,12,116
4650,542,537,8,114
4700,540,537,6,103
4750,540,537,6,85
4800,542,535,8,64
4850,542,533,11,46
4900,533,531,14,35
4950,533,529,18,35
5000,516,528,19,45
5050,516,528,20,61
5100,529,529,19,77
5150,529,531,16,87
5200,535,533,14,88
5250,535,533,13,80
5300,527,532,13,65
5350,536,532,15,48
5400,536,530,17,34
5450,537,529,20,28
5500,537,528,22,33
5550,520,528,22,50
5600,520,529,21,73
5650,525,531,18,96
5700,525,533,14,111
5750,538,536,10,117
5800,538,537,7,111
5850,543,537,6,96
5900,543,536,7,76
5950,539,534,9,55
6000,539,532,12,40
6050,544,530,16,34
6100,544,529,19,38
6150,533,528,20,52
6200,529,529,19,69
6250,529,530,18,83
6300,529,531,16,89
6350,529,532,14,86
6400,529,533,13,74
6450,529,532,14,58
6500,533,532,16,41
6550,533,529,18,30
6600,536,528,21,29
6650,536,527,22,39
6700,522,528,22,59
6750,522,530,20,83
6800,536,532,16,103
6850,536,534,12,115
6900,532,536,9,115
6950,539,537,7,105
7000,539,537,6,88
7050,533,536,8,67
7100,533,533,10,48
7150,540,531,14,36
7200,540,529,17,34
7250,530,529,19,43
7300,530,528,20,59
7350,530,529,19,75
7400,530,531,17,86
7450,527,532,15,89
7500,527,533,13,82
7550,529,533,13,67
7600,529,532,14,50
7650,545,530,17,35
7700,545,529,19,28
7750,523,528,22,32
7800,531,527,22,47
7850,531,529,21,69
7900,539,530,19,92
7950,539,533,15,110
8000,531,535,11,116
8050,531,536,8,112
8100,541,538,6,98
8150,541,536,7,79
8200,548,534,9,58
8250,548,532,12,42
8300,536,530,15,34
8350,536,529,18,37
8400,540,528,20,49
8450,540,528,20,66
8500,531,529,18,81
8550,530,531,16,89
8600,530,533,14,87
8650,522,533,13,76
8700,522,532,13,60
8750,544,531,15,43
8800,544,530,18,31
8850,525,528,20,28
8900,525,527,22,37
8950,539,528,22,56
9000,539,529,20,80
9050,518,532,17,101
9100,518,534,13,114
9150,532,536,9,116
9200,532,537,7,107
9250,552,537,6,91
9300,554,536,7,70
9350,554,534,10,50
9400,535,532,13,37
9450,535,529,17,34
9500,540,528,19,41
9550,540,528,20,56
9600,532,529,19,73
9650,532,531,17,85
9700,551,532,15,89
9750,551,533,13,83
9800,531,533,13,70
9850,531,532,14,53
9900,529,531,16,37
9950,529,529,19,28
10000,537,528,21,30
10050,537,528,22,44
10100,537,529,22,66
10150,521,531,19,89
10200,521,533,15,108
10250,523,535,11,116
10300,523,537,8,113
10350,529,537,6,101
10400,529,536,6,82
10450,537,535,8,61
10500,537,533,11,44
10550,534,531,15,34
10600,534,529,18,36
10650,528,529,20,47
10700,528,528,20,64
10750,548,529,18,79
10800,548,531,16,88
10850,526,532,14,88
10900,543,533,13,78
10950,543,532,13,63
11000,534,532,15,46
11050,534,530,17,32
11100,534,528,20,28
11150,534,528,22,35
11200,531,528,22,53
11250,531,529,21,76
11300,555,532,18,98
11350,555,534,14,113
11400,538,536,10,116
11450,538,537,7,109
11500,541,537,6,93
11550,541,536,7,73
11600,538,534,9,53
11650,547,532,13,39
11700,547,530,16,34
11750,519,528,19,40
11800,519,528,20,54
11850,542,529,19,71
11900,542,530,17,84
11950,529,531,15,89
12000,529,532,14,85
12050,540,533,13,72
12100,540,532,14,55
12150,538,531,16,39
12200,538,529,19,29
12250,517,528,21,29
12300,517,527,22,41
12350,534,528,22,62
12400,534,530,20,86
12450,529,533,16,105
12500,528,535,12,116
12550,528,536,9,115
12600,532,537,7,103
12650,532,537,6,85
12700,537,535,8,64
12750,537,533,11,46
12800,540,531,14,35
12850,540,529,18,35
12900,542,528,19,45
12950,542,528,20,61
13000,531,529,19,77
13050,531,531,17,87
13100,549,532,14,88
13150,549,533,13,80
13200,532,533,13,65
13250,537,532,15,48
13300,537,530,17,34
13350,538,529,20,28
13400,538,528,22,33
13450,528,528,22,49
13500,528,529,21,72
13550,542,531,18,95
13600,542,533,14,111
13650,541,536,10,117
13700,541,537,7,111
13750,549,537,6,96
13800,549,536,7,76
13850,557,535,9,56
13900,557,532,12,40
13950,528,530,16,34
14000,528,528,19,38
14050,529,528,20,51
14100,516,529,19,68
14150,516,530,18,82
14200,510,531,16,89
14250,510,532,14,86
14300,528,533,13,74
14350,528,533,14,58
14400,521,531,15,41
14450,521,530,18,30
14500,526,528,21,29
14550,526,528,22,39
14600,532,529,22,59
14650,532,530,20,83
14700,542,532,17,103
14750,542,534,13,115
14800,543,537,9,115
14850,525,537,7,106
14900,525,537,6,88
14950,533,536,8,67
15000,533,533,10,48
15050,542,531,14,36
15100,542,529,17,34
15150,528,529,19,43
15200,528,528,20,59
15250,527,529,19,75
15300,527,531,17,86
15350,525,532,15,89
15400,525,533,13,82
15450,534,533,13,68
15500,534,532,14,50
15550,531,531,17,35
15600,531,529,19,28
15650,529,528,22,32
15700,523,528,22,46
15750,523,529,21,69
15800,536,530,19,92
15850,536,533,15,109
15900,522,536,11,116
15950,522,537,8,112
16000,523,537,6,99
16050,523,536,7,79
16100,546,535,9,59
16150,546,533,12,42
16200,520,530,15,34
16250,520,528,18,37
16300,527,528,20,49
16350,527,529,20,66
16400,521,530,18,81
16450,538,531,16,89
16500,538,532,14,87
16550,546,533,13,77
16600,546,532,13,60
16650,539,531,15,43
16700,539,530,18,31
16750,530,529,20,28
16800,530,527,22,37
16850,541,528,22,55
16900,541,529,20,79
16950,532,532,17,100
17000,532,534,13,114
17050,529,536,9,116
17100,529,537,7,108
17150,548,537,6,91
17200,534,536,7,70
17250,534,534,10,51
17300,513,531,13,37
17350,513,529,17,34
17400,541,528,19,41
17450,541,528,20,56
17500,532,529,19,73
17550,532,530,17,85
17600,541,532,15,89
17650,541,533,13,83
17700,518,533,13,70
17750,518,532,14,53
17800,532,531,16,37
17850,532,529,19,28
17900,523,528,21,30
17950,523,528,22,44
18000,518,529,22,65
18050,501,530,19,89
18100,501,533,15,107
18150,520,535,11,116
18200,520,537,8,114
18250,535,537,6,101
18300,535,537,6,82
18350,531,535,8,62
18400,531,533,11,44
18450,535,530,15,35
18500,535,529,18,36
18550,515,528,20,47
